neighborhood,year,n_permits,permits_per_sm
Albany Park,2006,2,6.471747991313275
Albany Park,2007,3,9.707621986969912
Albany Park,2008,1,3.2358739956566374
Albany Park,2009,2,6.471747991313275
Albany Park,2010,1,3.2358739956566374
Albany Park,2011,0,0
Albany Park,2012,1,3.2358739956566374
Albany Park,2013,0,0
Albany Park,2014,0,0
Albany Park,2015,2,6.471747991313275
Albany Park,2016,2,6.471747991313275
Albany Park,2017,0,0
Albany Park,2018,0,0
Albany Park,2019,1,3.2358739956566374
Albany Park,2020,0,0
Albany Park,2021,4,12.94349598262655
Andersonville,2006,0,0
Andersonville,2007,0,0
Andersonville,2008,0,0
Andersonville,2009,0,0
Andersonville,2010,0,0
Andersonville,2011,1,324.0566209698524
Andersonville,2012,0,0
Andersonville,2013,0,0
Andersonville,2014,0,0
Andersonville,2015,0,0
Andersonville,2016,0,0
Andersonville,2017,0,0
Andersonville,2018,1,324.0566209698524
Andersonville,2019,0,0
Andersonville,2020,0,0
Andersonville,2021,0,0
Archer Heights,2006,3,116.14702190547965
Archer Heights,2007,0,0
Archer Heights,2008,0,0
Archer Heights,2009,0,0
Archer Heights,2010,0,0
Archer Heights,2011,0,0
Archer Heights,2012,0,0
Archer Heights,2013,0,0
Archer Heights,2014,0,0
Archer Heights,2015,0,0
Archer Heights,2016,0,0
Archer Heights,2017,0,0
Archer Heights,2018,0,0
Archer Heights,2019,0,0
Archer Heights,2020,0,0
Archer Heights,2021,0,0
Avalon Park,2006,0,0
Avalon Park,2007,1,406.96792531225185
Avalon Park,2008,0,0
Avalon Park,2009,0,0
Avalon Park,2010,0,0
Avalon Park,2011,0,0
Avalon Park,2012,0,0
Avalon Park,2013,0,0
Avalon Park,2014,0,0
Avalon Park,2015,0,0
Avalon Park,2016,0,0
Avalon Park,2017,0,0
Avalon Park,2018,0,0
Avalon Park,2019,0,0
Avalon Park,2020,0,0
Avalon Park,2021,0,0
Avondale,2006,7,140.2292590387627
Avondale,2007,0,0
Avondale,2008,1,20.032751291251817
Avondale,2009,1,20.032751291251817
Avondale,2010,0,0
Avondale,2011,0,0
Avondale,2012,0,0
Avondale,2013,5,100.16375645625908
Avondale,2014,1,20.032751291251817
Avondale,2015,1,20.032751291251817
Avondale,2016,1,20.032751291251817
Avondale,2017,2,40.06550258250363
Avondale,2018,1,20.032751291251817
Avondale,2019,3,60.098253873755446
Avondale,2020,2,40.06550258250363
Avondale,2021,1,20.032751291251817
Back of the Yards,2006,21,107.93806713968299
Back of the Yards,2007,2,10.279815918065045
Back of the Yards,2008,1,5.139907959032523
Back of the Yards,2009,0,0
Back of the Yards,2010,0,0
Back of the Yards,2011,0,0
Back of the Yards,2012,0,0
Back of the Yards,2013,0,0
Back of the Yards,2014,0,0
Back of the Yards,2015,0,0
Back of the Yards,2016,0,0
Back of the Yards,2017,0,0
Back of the Yards,2018,0,0
Back of the Yards,2019,0,0
Back of the Yards,2020,0,0
Back of the Yards,2021,0,0
Belmont Central,2006,0,0
Belmont Central,2007,0,0
Belmont Central,2008,0,0
Belmont Central,2009,0,0
Belmont Central,2010,0,0
Belmont Central,2011,1,61.949507558445774
Belmont Central,2012,0,0
Belmont Central,2013,0,0
Belmont Central,2014,0,0
Belmont Central,2015,0,0
Belmont Central,2016,0,0
Belmont Central,2017,0,0
Belmont Central,2018,0,0
Belmont Central,2019,0,0
Belmont Central,2020,0,0
Belmont Central,2021,0,0
Belmont Heights,2006,0,0
Belmont Heights,2007,0,0
Belmont Heights,2008,0,0
Belmont Heights,2009,0,0
Belmont Heights,2010,0,0
Belmont Heights,2011,0,0
Belmont Heights,2012,0,0
Belmont Heights,2013,0,0
Belmont Heights,2014,0,0
Belmont Heights,2015,0,0
Belmont Heights,2016,0,0
Belmont Heights,2017,1,35.69794930838281
Belmont Heights,2018,0,0
Belmont Heights,2019,0,0
Belmont Heights,2020,0,0
Belmont Heights,2021,0,0
Bowmanville,2006,0,0
Bowmanville,2007,0,0
Bowmanville,2008,0,0
Bowmanville,2009,0,0
Bowmanville,2010,0,0
Bowmanville,2011,0,0
Bowmanville,2012,0,0
Bowmanville,2013,0,0
Bowmanville,2014,0,0
Bowmanville,2015,0,0
Bowmanville,2016,0,0
Bowmanville,2017,1,102.89592698063379
Bowmanville,2018,0,0
Bowmanville,2019,2,205.79185396126758
Bowmanville,2020,1,102.89592698063379
Bowmanville,2021,0,0
Bridgeport,2006,33,155.51238972265233
Bridgeport,2007,10,47.124966582621916
Bridgeport,2008,4,18.849986633048765
Bridgeport,2009,3,14.137489974786575
Bridgeport,2010,4,18.849986633048765
Bridgeport,2011,1,4.712496658262191
Bridgeport,2012,5,23.562483291310958
Bridgeport,2013,5,23.562483291310958
Bridgeport,2014,7,32.98747660783534
Bridgeport,2015,9,42.412469924359726
Bridgeport,2016,4,18.849986633048765
Bridgeport,2017,10,47.124966582621916
Bridgeport,2018,8,37.69997326609753
Bridgeport,2019,3,14.137489974786575
Bridgeport,2020,7,32.98747660783534
Bridgeport,2021,1,4.712496658262191
Brighton Park,2006,9,207.5550316139006
Brighton Park,2007,1,23.06167017932229
Brighton Park,2008,1,23.06167017932229
Brighton Park,2009,1,23.06167017932229
Brighton Park,2010,0,0
Brighton Park,2011,0,0
Brighton Park,2012,0,0
Brighton Park,2013,1,23.06167017932229
Brighton Park,2014,0,0
Brighton Park,2015,8,184.49336143457833
Brighton Park,2016,15,345.9250526898344
Brighton Park,2017,9,207.5550316139006
Brighton Park,2018,2,46.12334035864458
Brighton Park,2019,2,46.12334035864458
Brighton Park,2020,2,46.12334035864458
Brighton Park,2021,1,23.06167017932229
Bronzeville,2006,61,44.41039477168016
Bronzeville,2007,73,53.14686587430576
Bronzeville,2008,13,9.464510361177739
Bronzeville,2009,0,0
Bronzeville,2010,7,5.096274809864936
Bronzeville,2011,4,2.9121570342085348
Bronzeville,2012,7,5.096274809864936
Bronzeville,2013,12,8.736471102625606
Bronzeville,2014,41,29.849609600637482
Bronzeville,2015,18,13.104706653938408
Bronzeville,2016,39,28.393531083533215
Bronzeville,2017,41,29.849609600637482
Bronzeville,2018,60,43.68235551312802
Bronzeville,2019,50,36.40196292760669
Bronzeville,2020,34,24.75333479077255
Bronzeville,2021,55,40.04215922036735
Bucktown,2006,12,59.215590435677335
Bucktown,2007,9,44.411692826758
Bucktown,2008,6,29.607795217838667
Bucktown,2009,2,9.869265072612889
Bucktown,2010,2,9.869265072612889
Bucktown,2011,4,19.738530145225777
Bucktown,2012,12,59.215590435677335
Bucktown,2013,16,78.95412058090311
Bucktown,2014,20,98.69265072612889
Bucktown,2015,15,74.01948804459667
Bucktown,2016,11,54.28095789937089
Bucktown,2017,16,78.95412058090311
Bucktown,2018,9,44.411692826758
Bucktown,2019,5,24.673162681532222
Bucktown,2020,5,24.673162681532222
Bucktown,2021,6,29.607795217838667
Budlong Woods,2006,0,0
Budlong Woods,2007,1,16.475015535012066
Budlong Woods,2008,0,0
Budlong Woods,2009,0,0
Budlong Woods,2010,0,0
Budlong Woods,2011,1,16.475015535012066
Budlong Woods,2012,0,0
Budlong Woods,2013,0,0
Budlong Woods,2014,0,0
