neighborhood,year,n_permits,permits_per_sm,treatment
Albany Park,2006,2,6.471747991313565,0
Albany Park,2007,4,12.94349598262713,0
Albany Park,2008,3,9.707621986970347,0
Albany Park,2009,2,6.471747991313565,0
Albany Park,2010,0,0,0
Albany Park,2011,0,0,0
Albany Park,2012,1,3.2358739956567826,0
Albany Park,2013,3,9.707621986970347,0
Albany Park,2014,1,3.2358739956567826,0
Albany Park,2015,1,3.2358739956567826,0
Albany Park,2016,1,3.2358739956567826,0
Albany Park,2017,0,0,0
Albany Park,2018,2,6.471747991313565,0
Albany Park,2019,0,0,0
Albany Park,2020,3,9.707621986970347,0
Albany Park,2021,4,12.94349598262713,0
Andersonville,2006,0,0,0
Andersonville,2007,0,0,0
Andersonville,2008,0,0,0
Andersonville,2009,0,0,0
Andersonville,2010,0,0,0
Andersonville,2011,1,324.05662097042364,0
Andersonville,2012,0,0,0
Andersonville,2013,0,0,0
Andersonville,2014,0,0,0
Andersonville,2015,0,0,0
Andersonville,2016,0,0,0
Andersonville,2017,0,0,0
Andersonville,2018,1,324.05662097042364,0
Andersonville,2019,0,0,0
Andersonville,2020,0,0,0
Andersonville,2021,0,0,0
Avondale,2006,3,60.09825387374898,0
Avondale,2007,2,40.06550258249932,0
Avondale,2008,0,0,0
Avondale,2009,1,20.03275129124966,0
Avondale,2010,0,0,0
Avondale,2011,1,20.03275129124966,0
Avondale,2012,0,0,0
Avondale,2013,1,20.03275129124966,0
Avondale,2014,0,0,0
Avondale,2015,0,0,0
Avondale,2016,1,20.03275129124966,0
Avondale,2017,1,20.03275129124966,0
Avondale,2018,2,40.06550258249932,0
Avondale,2019,1,20.03275129124966,0
Avondale,2020,1,20.03275129124966,0
Avondale,2021,1,20.03275129124966,0
Back of the Yards,2006,0,0,0
Back of the Yards,2007,2,10.279815918061841,0
Back of the Yards,2008,1,5.1399079590309205,0
Back of the Yards,2009,8,41.119263672247364,0
Back of the Yards,2010,4,20.559631836123682,0
Back of the Yards,2011,1,5.1399079590309205,0
Back of the Yards,2012,3,15.419723877092762,0
Back of the Yards,2013,0,0,0
Back of the Yards,2014,1,5.1399079590309205,0
Back of the Yards,2015,3,15.419723877092762,0
Back of the Yards,2016,2,10.279815918061841,0
Back of the Yards,2017,9,46.259171631278285,0
Back of the Yards,2018,3,15.419723877092762,0
Back of the Yards,2019,1,5.1399079590309205,0
Back of the Yards,2020,1,5.1399079590309205,0
Back of the Yards,2021,1,5.1399079590309205,0
Belmont Central,2006,0,0,0
Belmont Central,2007,0,0,0
Belmont Central,2008,0,0,0
Belmont Central,2009,0,0,0
Belmont Central,2010,0,0,0
Belmont Central,2011,0,0,0
Belmont Central,2012,0,0,0
Belmont Central,2013,2,123.89901511687965,0
Belmont Central,2014,0,0,0
Belmont Central,2015,0,0,0
Belmont Central,2016,0,0,0
Belmont Central,2017,0,0,0
Belmont Central,2018,0,0,0
Belmont Central,2019,0,0,0
Belmont Central,2020,0,0,0
Belmont Central,2021,0,0,0
Belmont Heights,2006,0,0,0
Belmont Heights,2007,1,35.69794930837175,0
Belmont Heights,2008,1,35.69794930837175,0
Belmont Heights,2009,0,0,0
Belmont Heights,2010,0,0,0
Belmont Heights,2011,0,0,0
Belmont Heights,2012,0,0,0
Belmont Heights,2013,0,0,0
Belmont Heights,2014,0,0,0
Belmont Heights,2015,0,0,0
Belmont Heights,2016,0,0,0
Belmont Heights,2017,1,35.69794930837175,0
Belmont Heights,2018,0,0,0
Belmont Heights,2019,0,0,0
Belmont Heights,2020,0,0,0
Belmont Heights,2021,0,0,0
Bowmanville,2006,0,0,0
Bowmanville,2007,1,102.89592698067179,0
Bowmanville,2008,0,0,0
Bowmanville,2009,0,0,0
Bowmanville,2010,0,0,0
Bowmanville,2011,0,0,0
Bowmanville,2012,0,0,0
Bowmanville,2013,0,0,0
Bowmanville,2014,0,0,0
Bowmanville,2015,0,0,0
Bowmanville,2016,0,0,0
Bowmanville,2017,1,102.89592698067179,0
Bowmanville,2018,1,102.89592698067179,0
Bowmanville,2019,1,102.89592698067179,0
Bowmanville,2020,1,102.89592698067179,0
Bowmanville,2021,0,0,0
Brainerd,2006,0,0,0
Brainerd,2007,0,0,0
Brainerd,2008,0,0,0
Brainerd,2009,0,0,0
Brainerd,2010,0,0,0
Brainerd,2011,0,0,0
Brainerd,2012,1,80.14787899778652,0
Brainerd,2013,0,0,0
Brainerd,2014,0,0,0
Brainerd,2015,1,80.14787899778652,0
Brainerd,2016,0,0,0
Brainerd,2017,0,0,0
Brainerd,2018,0,0,0
Brainerd,2019,0,0,0
Brainerd,2020,0,0,0
Brainerd,2021,0,0,0
Bridgeport,2006,6,28.274979949575492,0
Bridgeport,2007,3,14.137489974787746,0
Bridgeport,2008,1,4.712496658262582,0
Bridgeport,2009,2,9.424993316525164,0
Bridgeport,2010,1,4.712496658262582,0
Bridgeport,2011,0,0,0
Bridgeport,2012,1,4.712496658262582,0
Bridgeport,2013,0,0,0
Bridgeport,2014,1,4.712496658262582,0
Bridgeport,2015,1,4.712496658262582,0
Bridgeport,2016,0,0,0
Bridgeport,2017,3,14.137489974787746,0
Bridgeport,2018,2,9.424993316525164,0
Bridgeport,2019,5,23.56248329131291,0
Bridgeport,2020,2,9.424993316525164,0
Bridgeport,2021,1,4.712496658262582,0
Brighton Park,2006,2,46.12334035864802,0
Brighton Park,2007,1,23.06167017932401,0
Brighton Park,2008,0,0,0
Brighton Park,2009,0,0,0
Brighton Park,2010,0,0,0
Brighton Park,2011,0,0,0
Brighton Park,2012,0,0,0
Brighton Park,2013,0,0,0
Brighton Park,2014,1,23.06167017932401,0
Brighton Park,2015,0,0,0
Brighton Park,2016,0,0,0
Brighton Park,2017,0,0,0
Brighton Park,2018,0,0,0
Brighton Park,2019,0,0,0
Brighton Park,2020,0,0,0
Brighton Park,2021,0,0,0
Bronzeville,2006,15,10.920588878281677,0
Bronzeville,2007,17,12.376667395385901,0
Bronzeville,2008,10,7.280392585521119,0
Bronzeville,2009,9,6.552353326969007,0
Bronzeville,2010,12,8.736471102625343,0
Bronzeville,2011,7,5.0962748098647825,0
Bronzeville,2012,16,11.64862813683379,0
Bronzeville,2013,8,5.824314068416895,0
Bronzeville,2014,9,6.552353326969007,0
Bronzeville,2015,9,6.552353326969007,0
Bronzeville,2016,11,8.00843184407323,0
Bronzeville,2017,7,5.0962748098647825,0
Bronzeville,2018,7,5.0962748098647825,0
Bronzeville,2019,6,4.368235551312671,0
Bronzeville,2020,5,3.6401962927605593,0
Bronzeville,2021,0,0,0
Bucktown,2006,7,34.54242775414402,0
Bucktown,2007,12,59.215590435675466,0
Bucktown,2008,3,14.803897608918867,0
Bucktown,2009,1,4.934632536306289,0
Bucktown,2010,3,14.803897608918867,0
Bucktown,2011,3,14.803897608918867,0
Bucktown,2012,7,34.54242775414402,0
Bucktown,2013,9,44.4116928267566,0
Bucktown,2014,13,64.15022297198176,0
Bucktown,2015,14,69.08485550828804,0
Bucktown,2016,9,44.4116928267566,0
Bucktown,2017,16,78.95412058090062,0
Bucktown,2018,8,39.47706029045031,0
Bucktown,2019,4,19.738530145225155,0
Bucktown,2020,3,14.803897608918867,0
Bucktown,2021,5,24.673162681531444,0
Budlong Woods,2006,1,16.475015535011586,0
Budlong Woods,2007,0,0,0
Budlong Woods,2008,0,0,0
Budlong Woods,2009,0,0,0
Budlong Woods,2010,0,0,0
Budlong Woods,2011,0,0,0
Budlong Woods,2012,0,0,0
Budlong Woods,2013,0,0,0
Budlong Woods,2014,0,0,0
Budlong Woods,2015,0,0,0
Budlong Woods,2016,0,0,0
Budlong Woods,2017,0,0,0
Budlong Woods,2018,1,16.475015535011586,0
Budlong Woods,2019,0,0,0
Budlong Woods,2020,0,0,0
Budlong Woods,2021,0,0,0
Buena Park,2006,1,5.516433372075083,0
Buena Park,2007,2,11.032866744150166,0
Buena Park,2008,2,11.032866744150166,0
Buena Park,2009,0,0,0
Buena Park,2010,0,0,0
Buena Park,2011,1,5.516433372075083,0
Buena Park,2012,0,0,0
Buena Park,2013,0,0,0
Buena Park,2014,2,11.032866744150166,0
Buena Park,2015,0,0,0
Buena Park,2016,0,0,0
Buena Park,2017,0,0,0
Buena Park,2018,0,0,0
Buena Park,2019,1,5.516433372075083,0
Buena Park,2020,0,0,0
Buena Park,2021,0,0,0
Burnside,2006,0,0,0
Burnside,2007,0,0,0
Burnside,2008,0,0,0
Burnside,2009,0,0,0
Burnside,2010,0,0,0
Burnside,2011,0,0,0
Burnside,2012,0,0,0
Burnside,2013,0,0,0
Burnside,2014,0,0,0
Burnside,2015,0,0,0
Burnside,2016,0,0,0
Burnside,2017,0,0,0
Burnside,2018,0,0,0
Burnside,2019,1,16.70260063507928,0
Burnside,2020,0,0,0
Burnside,2021,0,0,0
Cabrini Green,2006,0,0,0
Cabrini Green,2007,0,0,0
Cabrini Green,2008,0,0,0
Cabrini Green,2009,1,20.51413443942583,0
Cabrini Green,2010,0,0,0
Cabrini Green,2011,2,41.02826887885166,0
Cabrini Green,2012,1,20.51413443942583,0
Cabrini Green,2013,0,0,0
Cabrini Green,2014,0,0,0
Cabrini Green,2015,0,0,0
Cabrini Green,2016,0,0,0
Cabrini Green,2017,0,0,0
Cabrini Green,2018,0,0,0
Cabrini Green,2019,0,0,0
Cabrini Green,2020,0,0,0
Cabrini Green,2021,0,0,0
Canaryville,2006,0,0,0
Canaryville,2007,0,0,0
Canaryville,2008,0,0,0
Canaryville,2009,0,0,0
Canaryville,2010,0,0,0
Canaryville,2011,0,0,0
Canaryville,2012,0,0,0
Canaryville,2013,0,0,0
Canaryville,2014,0,0,0
Canaryville,2015,1,104.99938749716296,0
Canaryville,2016,0,0,0
Canaryville,2017,0,0,0
Canaryville,2018,0,0,0
Canaryville,2019,0,0,0
Canaryville,2020,0,0,0
Canaryville,2021,0,0,0
Chatham,2006,1,4.118084113367585,0
Chatham,2007,0,0,0
Chatham,2008,1,4.118084113367585,0
Chatham,2009,0,0,0
Chatham,2010,0,0,0
Chatham,2011,2,8.23616822673517,0
Chatham,2012,1,4.118084113367585,0
Chatham,2013,0,0,0
Chatham,2014,0,0,0
Chatham,2015,0,0,0
Chatham,2016,1,4.118084113367585,0
Chatham,2017,0,0,0
Chatham,2018,0,0,0
Chatham,2019,0,0,0
Chatham,2020,0,0,0
Chatham,2021,0,0,0
Chinatown,2006,0,0,0
Chinatown,2007,0,0,0
Chinatown,2008,0,0,0
Chinatown,2009,0,0,0
Chinatown,2010,1,15.33877969062533,0
Chinatown,2011,0,0,0
Chinatown,2012,0,0,0
Chinatown,2013,0,0,0
Chinatown,2014,0,0,0
Chinatown,2015,0,0,0
Chinatown,2016,2,30.67755938125066,0
Chinatown,2017,0,0,0
Chinatown,2018,0,0,0
Chinatown,2019,0,0,0
Chinatown,2020,1,15.33877969062533,0
Chinatown,2021,1,15.33877969062533,0
Cragin,2006,0,0,0
Cragin,2007,0,0,0
Cragin,2008,0,0,0
Cragin,2009,0,0,0
Cragin,2010,0,0,0
Cragin,2011,1,139.51985507291573,0
Cragin,2012,0,0,0
Cragin,2013,0,0,0
Cragin,2014,0,0,0
Cragin,2015,0,0,0
Cragin,2016,0,0,0
Cragin,2017,0,0,0
Cragin,2018,0,0,0
Cragin,2019,0,0,0
Cragin,2020,0,0,0
