neighborhood,year,n_permits,permits_per_sm
Albany Park,2006,7,7.0383493778451784
Albany Park,2007,10,10.054784825493112
Albany Park,2008,10,10.054784825493112
Albany Park,2009,6,6.032870895295867
Albany Park,2010,8,8.04382786039449
Albany Park,2011,14,14.076698755690357
Albany Park,2012,12,12.065741790591733
Albany Park,2013,13,13.071220273141044
Albany Park,2014,17,17.09313420333829
Albany Park,2015,6,6.032870895295867
Albany Park,2016,9,9.049306342943801
Albany Park,2017,10,10.054784825493112
Albany Park,2018,4,4.021913930197245
Albany Park,2019,4,4.021913930197245
Albany Park,2020,3,3.0164354476479334
Albany Park,2021,2,2.0109569650986225
Andersonville,2006,1,4.54917815551635
Andersonville,2007,2,9.0983563110327
Andersonville,2008,0,0
Andersonville,2009,2,9.0983563110327
Andersonville,2010,1,4.54917815551635
Andersonville,2011,1,4.54917815551635
Andersonville,2012,1,4.54917815551635
Andersonville,2013,2,9.0983563110327
Andersonville,2014,3,13.64753446654905
Andersonville,2015,2,9.0983563110327
Andersonville,2016,3,13.64753446654905
Andersonville,2017,1,4.54917815551635
Andersonville,2018,4,18.1967126220654
Andersonville,2019,1,4.54917815551635
Andersonville,2020,1,4.54917815551635
Andersonville,2021,2,9.0983563110327
Arcadia Terrace,2006,4,19.9443357545713
Arcadia Terrace,2007,1,4.986083938642825
Arcadia Terrace,2008,0,0
Arcadia Terrace,2009,1,4.986083938642825
Arcadia Terrace,2010,1,4.986083938642825
Arcadia Terrace,2011,0,0
Arcadia Terrace,2012,0,0
Arcadia Terrace,2013,0,0
Arcadia Terrace,2014,1,4.986083938642825
Arcadia Terrace,2015,2,9.97216787728565
Arcadia Terrace,2016,1,4.986083938642825
Arcadia Terrace,2017,0,0
Arcadia Terrace,2018,0,0
Arcadia Terrace,2019,0,0
Arcadia Terrace,2020,0,0
Arcadia Terrace,2021,0,0
Archer Heights,2006,5,9.54221388537846
Archer Heights,2007,7,13.359099439529846
Archer Heights,2008,8,15.267542216605538
Archer Heights,2009,6,11.450656662454154
Archer Heights,2010,3,5.725328331227077
Archer Heights,2011,6,11.450656662454154
Archer Heights,2012,4,7.633771108302769
Archer Heights,2013,3,5.725328331227077
Archer Heights,2014,1,1.9084427770756922
Archer Heights,2015,14,26.718198879059692
Archer Heights,2016,11,20.992870547832617
Archer Heights,2017,2,3.8168855541513844
Archer Heights,2018,2,3.8168855541513844
Archer Heights,2019,3,5.725328331227077
Archer Heights,2020,1,1.9084427770756922
Archer Heights,2021,2,3.8168855541513844
Ashburn,2006,0,0
Ashburn,2007,0,0
Ashburn,2008,0,0
Ashburn,2009,0,0
Ashburn,2010,1,32.98088021578554
Ashburn,2011,1,32.98088021578554
Ashburn,2012,0,0
Ashburn,2013,0,0
Ashburn,2014,0,0
Ashburn,2015,0,0
Ashburn,2016,0,0
Ashburn,2017,0,0
Ashburn,2018,0,0
Ashburn,2019,0,0
Ashburn,2020,0,0
Ashburn,2021,0,0
Avalon Park,2006,0,0
Avalon Park,2007,0,0
Avalon Park,2008,0,0
Avalon Park,2009,0,0
Avalon Park,2010,0,0
Avalon Park,2011,0,0
Avalon Park,2012,0,0
Avalon Park,2013,0,0
Avalon Park,2014,0,0
Avalon Park,2015,0,0
Avalon Park,2016,1,26.580552941116576
Avalon Park,2017,0,0
Avalon Park,2018,0,0
Avalon Park,2019,0,0
Avalon Park,2020,0,0
Avalon Park,2021,0,0
Avondale,2006,4,7.858528227600924
Avondale,2007,2,3.929264113800462
Avondale,2008,2,3.929264113800462
Avondale,2009,6,11.787792341401385
Avondale,2010,1,1.964632056900231
Avondale,2011,3,5.8938961707006925
Avondale,2012,7,13.752424398301615
Avondale,2013,7,13.752424398301615
Avondale,2014,6,11.787792341401385
Avondale,2015,1,1.964632056900231
Avondale,2016,8,15.717056455201847
Avondale,2017,7,13.752424398301615
Avondale,2018,3,5.8938961707006925
Avondale,2019,3,5.8938961707006925
Avondale,2020,0,0
Avondale,2021,2,3.929264113800462
Back of the Yards,2006,4,3.0756450973029565
Back of the Yards,2007,6,4.613467645954435
Back of the Yards,2008,10,7.689112743257391
Back of the Yards,2009,7,5.382378920280174
Back of the Yards,2010,3,2.3067338229772174
Back of the Yards,2011,3,2.3067338229772174
Back of the Yards,2012,7,5.382378920280174
Back of the Yards,2013,0,0
Back of the Yards,2014,6,4.613467645954435
Back of the Yards,2015,7,5.382378920280174
Back of the Yards,2016,7,5.382378920280174
Back of the Yards,2017,5,3.8445563716286957
Back of the Yards,2018,10,7.689112743257391
Back of the Yards,2019,8,6.151290194605913
Back of the Yards,2020,5,3.8445563716286957
Back of the Yards,2021,2,1.5378225486514783
Belmont Central,2006,11,18.86780408446772
Belmont Central,2007,8,13.722039334158342
Belmont Central,2008,8,13.722039334158342
Belmont Central,2009,3,5.145764750309379
Belmont Central,2010,3,5.145764750309379
Belmont Central,2011,5,8.576274583848964
Belmont Central,2012,7,12.00678441738855
Belmont Central,2013,1,1.7152549167697928
Belmont Central,2014,6,10.291529500618758
Belmont Central,2015,2,3.4305098335395856
Belmont Central,2016,3,5.145764750309379
Belmont Central,2017,1,1.7152549167697928
Belmont Central,2018,5,8.576274583848964
Belmont Central,2019,3,5.145764750309379
Belmont Central,2020,2,3.4305098335395856
Belmont Central,2021,6,10.291529500618758
Belmont Gardens,2006,10,22.942579893500664
Belmont Gardens,2007,12,27.531095872200797
Belmont Gardens,2008,11,25.236837882850732
Belmont Gardens,2009,7,16.059805925450465
Belmont Gardens,2010,8,18.35406391480053
Belmont Gardens,2011,2,4.588515978700133
Belmont Gardens,2012,4,9.177031957400265
Belmont Gardens,2013,5,11.471289946750332
Belmont Gardens,2014,3,6.882773968050199
Belmont Gardens,2015,6,13.765547936100399
Belmont Gardens,2016,9,20.6483219041506
Belmont Gardens,2017,1,2.2942579893500663
Belmont Gardens,2018,3,6.882773968050199
Belmont Gardens,2019,7,16.059805925450465
Belmont Gardens,2020,5,11.471289946750332
Belmont Gardens,2021,3,6.882773968050199
Bowmanville,2006,2,13.684604420342165
Bowmanville,2007,1,6.842302210171082
Bowmanville,2008,1,6.842302210171082
Bowmanville,2009,1,6.842302210171082
Bowmanville,2010,1,6.842302210171082
Bowmanville,2011,0,0
Bowmanville,2012,0,0
Bowmanville,2013,2,13.684604420342165
Bowmanville,2014,2,13.684604420342165
Bowmanville,2015,1,6.842302210171082
Bowmanville,2016,2,13.684604420342165
Bowmanville,2017,1,6.842302210171082
Bowmanville,2018,1,6.842302210171082
Bowmanville,2019,0,0
Bowmanville,2020,1,6.842302210171082
Bowmanville,2021,0,0
Brainerd,2006,0,0
Brainerd,2007,0,0
Brainerd,2008,0,0
Brainerd,2009,0,0
Brainerd,2010,0,0
Brainerd,2011,1,4.834523266108
Brainerd,2012,0,0
Brainerd,2013,0,0
Brainerd,2014,0,0
Brainerd,2015,0,0
Brainerd,2016,0,0
Brainerd,2017,0,0
Brainerd,2018,1,4.834523266108
Brainerd,2019,0,0
Brainerd,2020,0,0
Brainerd,2021,0,0
Bridgeport,2006,2,1.9634491474541251
Bridgeport,2007,4,3.9268982949082503
Bridgeport,2008,2,1.9634491474541251
Bridgeport,2009,2,1.9634491474541251
Bridgeport,2010,6,5.890347442362375
Bridgeport,2011,6,5.890347442362375
Bridgeport,2012,7,6.8720720160894375
Bridgeport,2013,5,4.908622868635312
Bridgeport,2014,1,0.9817245737270626
Bridgeport,2015,3,2.9451737211811877
Bridgeport,2016,5,4.908622868635312
Bridgeport,2017,4,3.9268982949082503
Bridgeport,2018,4,3.9268982949082503
Bridgeport,2019,4,3.9268982949082503
Bridgeport,2020,3,2.9451737211811877
Bridgeport,2021,3,2.9451737211811877
Brighton Park,2006,15,11.442056685761207
Brighton Park,2007,10,7.628037790507472
Brighton Park,2008,7,5.33962645335523
Brighton Park,2009,14,10.67925290671046
Brighton Park,2010,11,8.39084156955822
Brighton Park,2011,10,7.628037790507472
Brighton Park,2012,12,9.153645348608967
Brighton Park,2013,2,1.5256075581014943
Brighton Park,2014,6,4.576822674304483
Brighton Park,2015,13,9.916449127659712
Brighton Park,2016,7,5.33962645335523
Brighton Park,2017,9,6.8652340114567245
Brighton Park,2018,8,6.102430232405977
Brighton Park,2019,8,6.102430232405977
Brighton Park,2020,3,2.2884113371522417
Brighton Park,2021,1,0.7628037790507471
Brynford Park,2006,0,0
Brynford Park,2007,0,0
Brynford Park,2008,0,0
Brynford Park,2009,0,0
Brynford Park,2010,0,0
Brynford Park,2011,0,0
Brynford Park,2012,1,43.57769384436726
Brynford Park,2013,0,0
Brynford Park,2014,0,0
Brynford Park,2015,0,0
Brynford Park,2016,0,0
Brynford Park,2017,0,0
Brynford Park,2018,0,0
Brynford Park,2019,0,0
Brynford Park,2020,0,0
Brynford Park,2021,1,43.57769384436726
Bucktown,2006,7,20.536635547877935
Bucktown,2007,3,8.801415234804828
Bucktown,2008,4,11.735220313073105
Bucktown,2009,2,5.867610156536553
Bucktown,2010,3,8.801415234804828
Bucktown,2011,0,0
Bucktown,2012,2,5.867610156536553
Bucktown,2013,1,2.9338050782682763
Bucktown,2014,3,8.801415234804828
Bucktown,2015,1,2.9338050782682763
Bucktown,2016,6,17.602830469609657
Bucktown,2017,2,5.867610156536553
Bucktown,2018,6,17.602830469609657
Bucktown,2019,2,5.867610156536553
Bucktown,2020,2,5.867610156536553
Bucktown,2021,1,2.9338050782682763
Budlong Woods,2006,0,0
Budlong Woods,2007,0,0
Budlong Woods,2008,0,0
Budlong Woods,2009,1,4.91714274730445
Budlong Woods,2010,0,0
Budlong Woods,2011,0,0
Budlong Woods,2012,0,0
Budlong Woods,2013,0,0
Budlong Woods,2014,0,0
Budlong Woods,2015,0,0
Budlong Woods,2016,0,0
Budlong Woods,2017,0,0
Budlong Woods,2018,0,0
Budlong Woods,2019,0,0
Budlong Woods,2020,0,0
Budlong Woods,2021,0,0
Burnside,2006,0,0
Burnside,2007,0,0
Burnside,2008,0,0
Burnside,2009,3,7.9947757345875
Burnside,2010,1,2.6649252448625
Burnside,2011,0,0
Burnside,2012,0,0
Burnside,2013,1,2.6649252448625
Burnside,2014,2,5.329850489725
Burnside,2015,0,0
Burnside,2016,0,0
Burnside,2017,0,0
Burnside,2018,0,0
Burnside,2019,0,0
Burnside,2020,0,0
Burnside,2021,0,0
Calumet Heights,2006,0,0
Calumet Heights,2007,0,0
Calumet Heights,2008,0,0
Calumet Heights,2009,1,6.440566261071077
Calumet Heights,2010,0,0
Calumet Heights,2011,1,6.440566261071077
Calumet Heights,2012,2,12.881132522142154
Calumet Heights,2013,0,0
Calumet Heights,2014,1,6.440566261071077
Calumet Heights,2015,0,0
Calumet Heights,2016,0,0
Calumet Heights,2017,1,6.440566261071077
Calumet Heights,2018,0,0
Calumet Heights,2019,0,0
Calumet Heights,2020,0,0
Calumet Heights,2021,0,0
Canaryville,2006,1,3.5190395031521433
Canaryville,2007,1,3.5190395031521433
Canaryville,2008,1,3.5190395031521433
Canaryville,2009,1,3.5190395031521433
Canaryville,2010,1,3.5190395031521433
Canaryville,2011,1,3.5190395031521433
Canaryville,2012,2,7.038079006304287
Canaryville,2013,2,7.038079006304287
Canaryville,2014,1,3.5190395031521433
Canaryville,2015,1,3.5190395031521433
Canaryville,2016,1,3.5190395031521433
Canaryville,2017,0,0
Canaryville,2018,1,3.5190395031521433
Canaryville,2019,1,3.5190395031521433
Canaryville,2020,0,0
Canaryville,2021,1,3.5190395031521433
Chatham,2006,0,0
Chatham,2007,1,6.122046530256234
Chatham,2008,0,0
Chatham,2009,0,0
Chatham,2010,1,6.122046530256234
Chatham,2011,0,0
Chatham,2012,0,0
Chatham,2013,0,0
Chatham,2014,0,0
Chatham,2015,0,0
Chatham,2016,0,0
Chatham,2017,0,0
Chatham,2018,1,6.122046530256234
Chatham,2019,1,6.122046530256234
Chatham,2020,0,0
Chatham,2021,0,0
Chicago Lawn,2006,5,9.3121312723297809
Chicago Lawn,2007,1,1.862426254465956
Chicago Lawn,2008,5,9.3121312723297809
Chicago Lawn,2009,3,5.587278763397868
Chicago Lawn,2010,4,7.449705017863824
Chicago Lawn,2011,10,18.624262544659562
