neighborhood,year,n_permits,permits_per_sm,treatment
Albany Park,2006,16,16.087655720788344,0
Albany Park,2007,8,8.043827860394172,0
Albany Park,2008,1,1.0054784825492715,0
Albany Park,2009,0,0,0
Albany Park,2010,2,2.010956965098543,0
Albany Park,2011,6,6.03287089529563,0
Albany Park,2012,8,8.043827860394172,0
Albany Park,2013,8,8.043827860394172,0
Albany Park,2014,14,14.076698755689801,0
Albany Park,2015,11,11.060263308041987,0
Albany Park,2016,13,13.07122027314053,0
Albany Park,2017,15,15.082177238239073,0
Albany Park,2018,13,13.07122027314053,0
Albany Park,2019,12,12.06574179059126,0
Albany Park,2020,8,8.043827860394172,0
Albany Park,2021,23,23.126005098633247,0
Altgeld Gardens,2006,0,0,0
Altgeld Gardens,2007,3,11.7605272705871,0
Altgeld Gardens,2008,1,3.9201757568623665,0
Altgeld Gardens,2009,0,0,0
Altgeld Gardens,2010,0,0,0
Altgeld Gardens,2011,0,0,0
Altgeld Gardens,2012,0,0,0
Altgeld Gardens,2013,0,0,0
Altgeld Gardens,2014,0,0,0
Altgeld Gardens,2015,0,0,0
Altgeld Gardens,2016,0,0,0
Altgeld Gardens,2017,0,0,0
Altgeld Gardens,2018,0,0,0
Altgeld Gardens,2019,0,0,0
Altgeld Gardens,2020,0,0,0
Altgeld Gardens,2021,0,0,0
Andersonville,2006,3,13.647534466546883,0
Andersonville,2007,0,0,0
Andersonville,2008,2,9.098356311031255,0
Andersonville,2009,0,0,0
Andersonville,2010,0,0,0
Andersonville,2011,0,0,0
Andersonville,2012,1,4.549178155515627,0
Andersonville,2013,1,4.549178155515627,0
Andersonville,2014,2,9.098356311031255,0
Andersonville,2015,4,18.19671262206251,0
Andersonville,2016,1,4.549178155515627,0
Andersonville,2017,8,36.39342524412502,0
Andersonville,2018,2,9.098356311031255,0
Andersonville,2019,1,4.549178155515627,0
Andersonville,2020,1,4.549178155515627,0
Andersonville,2021,4,18.19671262206251,0
Arcadia Terrace,2006,0,0,0
Arcadia Terrace,2007,0,0,0
Arcadia Terrace,2008,0,0,0
Arcadia Terrace,2009,3,14.958251815929048,0
Arcadia Terrace,2010,0,0,0
Arcadia Terrace,2011,0,0,0
Arcadia Terrace,2012,0,0,0
Arcadia Terrace,2013,2,9.972167877286031,0
Arcadia Terrace,2014,0,0,0
Arcadia Terrace,2015,0,0,0
Arcadia Terrace,2016,1,4.986083938643016,0
Arcadia Terrace,2017,0,0,0
Arcadia Terrace,2018,0,0,0
Arcadia Terrace,2019,0,0,0
Arcadia Terrace,2020,0,0,0
Arcadia Terrace,2021,0,0,0
Archer Heights,2006,2,3.8168855541517774,0
Archer Heights,2007,0,0,0
Archer Heights,2008,0,0,0
Archer Heights,2009,0,0,0
Archer Heights,2010,0,0,0
Archer Heights,2011,1,1.9084427770758887,0
Archer Heights,2012,2,3.8168855541517774,0
Archer Heights,2013,0,0,0
Archer Heights,2014,0,0,0
Archer Heights,2015,1,1.9084427770758887,0
Archer Heights,2016,1,1.9084427770758887,0
Archer Heights,2017,0,0,0
Archer Heights,2018,1,1.9084427770758887,0
Archer Heights,2019,0,0,0
Archer Heights,2020,0,0,0
Archer Heights,2021,0,0,0
Avalon Park,2006,4,106.32221176446474,0
Avalon Park,2007,0,0,0
Avalon Park,2008,0,0,0
Avalon Park,2009,0,0,0
Avalon Park,2010,0,0,0
Avalon Park,2011,0,0,0
Avalon Park,2012,0,0,0
Avalon Park,2013,0,0,0
Avalon Park,2014,0,0,0
Avalon Park,2015,0,0,0
Avalon Park,2016,0,0,0
Avalon Park,2017,0,0,0
Avalon Park,2018,0,0,0
Avalon Park,2019,0,0,0
Avalon Park,2020,0,0,0
Avalon Park,2021,0,0,0
Avondale,2006,12,23.575584682802727,0
Avondale,2007,1,1.9646320569002274,0
Avondale,2008,0,0,0
Avondale,2009,0,0,0
Avondale,2010,0,0,0
Avondale,2011,3,5.893896170700682,0
Avondale,2012,7,13.752424398301592,0
Avondale,2013,10,19.646320569002274,0
Avondale,2014,6,11.787792341401364,0
Avondale,2015,2,3.9292641138004547,0
Avondale,2016,12,23.575584682802727,0
Avondale,2017,12,23.575584682802727,0
Avondale,2018,3,5.893896170700682,0
Avondale,2019,8,15.717056455201819,0
Avondale,2020,5,9.823160284501137,0
Avondale,2021,4,7.858528227600909,0
Back of the Yards,2006,25,19.22278185814343,0
Back of the Yards,2007,18,13.84040293786327,0
Back of the Yards,2008,7,5.382378920280161,0
Back of the Yards,2009,0,0,0
Back of the Yards,2010,0,0,0
Back of the Yards,2011,1,0.7689112743257372,0
Back of the Yards,2012,0,0,0
Back of the Yards,2013,0,0,0
Back of the Yards,2014,0,0,0
Back of the Yards,2015,0,0,0
Back of the Yards,2016,1,0.7689112743257372,0
Back of the Yards,2017,0,0,0
Back of the Yards,2018,2,1.5378225486514745,0
Back of the Yards,2019,0,0,0
Back of the Yards,2020,2,1.5378225486514745,0
Back of the Yards,2021,2,1.5378225486514745,0
Belmont Central,2006,2,3.4305098335394284,0
Belmont Central,2007,2,3.4305098335394284,0
Belmont Central,2008,1,1.7152549167697142,0
Belmont Central,2009,2,3.4305098335394284,0
Belmont Central,2010,1,1.7152549167697142,0
Belmont Central,2011,0,0,0
Belmont Central,2012,0,0,0
Belmont Central,2013,0,0,0
Belmont Central,2014,1,1.7152549167697142,0
Belmont Central,2015,0,0,0
Belmont Central,2016,0,0,0
Belmont Central,2017,1,1.7152549167697142,0
Belmont Central,2018,2,3.4305098335394284,0
Belmont Central,2019,1,1.7152549167697142,0
Belmont Central,2020,0,0,0
Belmont Central,2021,1,1.7152549167697142,0
Belmont Gardens,2006,0,0,0
Belmont Gardens,2007,0,0,0
Belmont Gardens,2008,0,0,0
Belmont Gardens,2009,0,0,0
Belmont Gardens,2010,0,0,0
Belmont Gardens,2011,0,0,0
Belmont Gardens,2012,0,0,0
Belmont Gardens,2013,0,0,0
Belmont Gardens,2014,0,0,0
Belmont Gardens,2015,0,0,0
Belmont Gardens,2016,0,0,0
Belmont Gardens,2017,0,0,0
Belmont Gardens,2018,1,2.2942579893502493,0
Belmont Gardens,2019,1,2.2942579893502493,0
