neighborhood,year,n_permits,permits_per_sm,treatment
Albany Park,2006,13,13.07122027314053,0
Albany Park,2007,7,7.0383493778449004,0
Albany Park,2008,10,10.054784825492716,0
Albany Park,2009,6,6.03287089529563,0
Albany Park,2010,9,9.049306342943444,0
Albany Park,2011,17,17.093134203337616,0
Albany Park,2012,19,19.10409116843616,0
Albany Park,2013,16,16.087655720788344,0
Albany Park,2014,21,21.115048133534703,0
Albany Park,2015,10,10.054784825492716,0
Albany Park,2016,13,13.07122027314053,0
Albany Park,2017,25,25.13696206373179,0
Albany Park,2018,18,18.098612685886888,0
Albany Park,2019,5,5.027392412746358,0
Albany Park,2020,9,9.049306342943444,0
Albany Park,2021,16,16.087655720788344,0
Altgeld Gardens,2006,0,0,0
Altgeld Gardens,2007,0,0,0
Altgeld Gardens,2008,0,0,0
Altgeld Gardens,2009,0,0,0
Altgeld Gardens,2010,0,0,0
Altgeld Gardens,2011,0,0,0
Altgeld Gardens,2012,0,0,0
Altgeld Gardens,2013,0,0,0
Altgeld Gardens,2014,0,0,0
Altgeld Gardens,2015,0,0,0
Altgeld Gardens,2016,25,98.00439392155916,0
Altgeld Gardens,2017,3,11.7605272705871,0
Altgeld Gardens,2018,0,0,0
Altgeld Gardens,2019,0,0,0
Altgeld Gardens,2020,0,0,0
Altgeld Gardens,2021,0,0,0
Andersonville,2006,2,9.098356311031255,0
Andersonville,2007,2,9.098356311031255,0
Andersonville,2008,0,0,0
Andersonville,2009,3,13.647534466546883,0
Andersonville,2010,1,4.549178155515627,0
Andersonville,2011,1,4.549178155515627,0
Andersonville,2012,2,9.098356311031255,0
Andersonville,2013,2,9.098356311031255,0
Andersonville,2014,4,18.19671262206251,0
Andersonville,2015,4,18.19671262206251,0
Andersonville,2016,3,13.647534466546883,0
Andersonville,2017,6,27.295068933093766,0
Andersonville,2018,6,27.295068933093766,0
Andersonville,2019,2,9.098356311031255,0
Andersonville,2020,1,4.549178155515627,0
Andersonville,2021,2,9.098356311031255,0
Arcadia Terrace,2006,3,14.958251815929048,0
Arcadia Terrace,2007,0,0,0
Arcadia Terrace,2008,0,0,0
Arcadia Terrace,2009,2,9.972167877286031,0
Arcadia Terrace,2010,1,4.986083938643016,0
Arcadia Terrace,2011,0,0,0
Arcadia Terrace,2012,0,0,0
Arcadia Terrace,2013,0,0,0
Arcadia Terrace,2014,0,0,0
Arcadia Terrace,2015,0,0,0
Arcadia Terrace,2016,0,0,0
Arcadia Terrace,2017,0,0,0
Arcadia Terrace,2018,0,0,0
Arcadia Terrace,2019,0,0,0
Arcadia Terrace,2020,0,0,0
Arcadia Terrace,2021,0,0,0
Archer Heights,2006,1,1.9084427770758887,0
Archer Heights,2007,5,9.542213885379445,0
Archer Heights,2008,8,15.26754221660711,0
Archer Heights,2009,6,11.450656662455332,0
Archer Heights,2010,3,5.725328331227666,0
Archer Heights,2011,6,11.450656662455332,0
Archer Heights,2012,1,1.9084427770758887,0
Archer Heights,2013,0,0,0
Archer Heights,2014,1,1.9084427770758887,0
Archer Heights,2015,4,7.633771108303555,0
Archer Heights,2016,4,7.633771108303555,0
Archer Heights,2017,0,0,0
Archer Heights,2018,3,5.725328331227666,0
Archer Heights,2019,2,3.8168855541517774,0
Archer Heights,2020,1,1.9084427770758887,0
Archer Heights,2021,2,3.8168855541517774,0
Ashburn,2006,0,0,0
Ashburn,2007,0,0,0
Ashburn,2008,0,0,0
Ashburn,2009,0,0,0
Ashburn,2010,0,0,0
Ashburn,2011,1,32.98088021578683,0
Ashburn,2012,0,0,0
Ashburn,2013,0,0,0
Ashburn,2014,0,0,0
Ashburn,2015,0,0,0
Ashburn,2016,0,0,0
Ashburn,2017,0,0,0
Ashburn,2018,0,0,0
Ashburn,2019,0,0,0
Ashburn,2020,0,0,0
Ashburn,2021,0,0,0
Avalon Park,2006,0,0,0
Avalon Park,2007,0,0,0
Avalon Park,2008,0,0,0
Avalon Park,2009,0,0,0
Avalon Park,2010,0,0,0
Avalon Park,2011,0,0,0
